antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"category:sportswear, country:UK, price:mid",store:oneractive,0.1268,0.1575,0.1268,1.0,6.3483,1.0,0.1068,999.0,0.9648,0.805,1.0,0.9025
"category:sportswear, price:mid, store:oneractive",country:UK,0.1268,0.3676,0.1268,1.0,2.7207,1.0,0.0802,999.0,0.7243,0.345,1.0,0.6725
"country:UK, store:oneractive","category:sportswear, price:mid",0.1575,0.1268,0.1268,0.805,6.3483,1.0,0.1068,4.4779,1.0,0.805,0.7767,0.9025
"category:sportswear, country:UK","price:mid, store:oneractive",0.1575,0.1268,0.1268,0.805,6.3483,1.0,0.1068,4.4779,1.0,0.805,0.7767,0.9025
"price:mid, store:oneractive","category:sportswear, country:UK",0.1268,0.1575,0.1268,1.0,6.3483,1.0,0.1068,999.0,0.9648,0.805,1.0,0.9025
"category:sportswear, store:oneractive","country:UK, price:mid",0.1575,0.2828,0.1268,0.805,2.847,1.0,0.0823,3.6782,0.7701,0.4045,0.7281,0.6267
"category:sportswear, price:mid","country:UK, store:oneractive",0.1268,0.1575,0.1268,1.0,6.3483,1.0,0.1068,999.0,0.9648,0.805,1.0,0.9025
store:oneractive,"category:sportswear, country:UK, price:mid",0.1575,0.1268,0.1268,0.805,6.3483,1.0,0.1068,4.4779,1.0,0.805,0.7767,0.9025
category:sportswear,"country:UK, price:mid, store:oneractive",0.1575,0.1268,0.1268,0.805,6.3483,1.0,0.1068,4.4779,1.0,0.805,0.7767,0.9025
"in_stock:yes, store:oneractive",country:UK,0.1142,0.3676,0.1142,1.0,2.7207,1.0,0.0722,999.0,0.714,0.3107,1.0,0.6554
store:oneractive,"country:UK, in_stock:yes",0.1575,0.2292,0.1142,0.725,3.1633,1.0,0.0781,2.8029,0.8117,0.4191,0.6432,0.6116
"in_stock:yes, store:oneractive",category:sportswear,0.1142,0.1575,0.1142,1.0,6.3483,1.0,0.0962,999.0,0.9511,0.725,1.0,0.8625
"category:sportswear, in_stock:yes",store:oneractive,0.1142,0.1575,0.1142,1.0,6.3483,1.0,0.0962,999.0,0.9511,0.725,1.0,0.8625
store:oneractive,"category:sportswear, in_stock:yes",0.1575,0.1142,0.1142,0.725,6.3483,1.0,0.0962,3.2211,1.0,0.725,0.6895,0.8625
category:sportswear,"in_stock:yes, store:oneractive",0.1575,0.1142,0.1142,0.725,6.3483,1.0,0.0962,3.2211,1.0,0.725,0.6895,0.8625
"country:UK, in_stock:yes, store:oneractive",category:sportswear,0.1142,0.1575,0.1142,1.0,6.3483,1.0,0.0962,999.0,0.9511,0.725,1.0,0.8625
"category:sportswear, country:UK, in_stock:yes",store:oneractive,0.1142,0.1575,0.1142,1.0,6.3483,1.0,0.0962,999.0,0.9511,0.725,1.0,0.8625
"category:sportswear, in_stock:yes, store:oneractive",country:UK,0.1142,0.3676,0.1142,1.0,2.7207,1.0,0.0722,999.0,0.714,0.3107,1.0,0.6554
"in_stock:yes, store:oneractive","category:sportswear, country:UK",0.1142,0.1575,0.1142,1.0,6.3483,1.0,0.0962,999.0,0.9511,0.725,1.0,0.8625
"category:sportswear, in_stock:yes","country:UK, store:oneractive",0.1142,0.1575,0.1142,1.0,6.3483,1.0,0.0962,999.0,0.9511,0.725,1.0,0.8625
"country:UK, store:oneractive","category:sportswear, in_stock:yes",0.1575,0.1142,0.1142,0.725,6.3483,1.0,0.0962,3.2211,1.0,0.725,0.6895,0.8625
