antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
store:burga,"category:phone_case, country:LT, in_stock:yes",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
country:LT,"category:phone_case, in_stock:yes, store:burga",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
"category:phone_case, price:mid, store:burga",country:LT,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"category:phone_case, country:LT, price:mid",store:burga,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"country:LT, price:mid, store:burga",category:phone_case,0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
"category:phone_case, store:burga","country:LT, price:mid",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
"category:phone_case, price:mid","country:LT, store:burga",0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"category:phone_case, country:LT","price:mid, store:burga",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
"price:mid, store:burga","category:phone_case, country:LT",0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
"country:LT, store:burga","category:phone_case, price:mid",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
"country:LT, price:mid","category:phone_case, store:burga",0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
category:phone_case,"country:LT, price:mid, store:burga",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
store:burga,"category:phone_case, country:LT, price:mid",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
country:LT,"category:phone_case, price:mid, store:burga",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
"category:phone_case, in_stock:yes, price:mid",store:burga,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"in_stock:yes, price:mid, store:burga",category:phone_case,0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
"category:phone_case, store:burga","in_stock:yes, price:mid",0.1103,0.5492,0.1103,1.0,1.8207,1.0,0.0497,999.0,0.5066,0.2008,1.0,0.6004
"category:phone_case, in_stock:yes","price:mid, store:burga",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
"category:phone_case, price:mid","in_stock:yes, store:burga",0.1103,0.131,0.1103,1.0,7.6333,1.0,0.0958,999.0,0.9767,0.8417,1.0,0.9208
"in_stock:yes, store:burga","category:phone_case, price:mid",0.131,0.1103,0.1103,0.8417,7.6333,1.0,0.0958,5.62,1.0,0.8417,0.8221,0.9208
"price:mid, store:burga","category:phone_case, in_stock:yes",0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
category:phone_case,"in_stock:yes, price:mid, store:burga",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
store:burga,"category:phone_case, in_stock:yes, price:mid",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
"category:phone_case, in_stock:yes, price:mid",country:LT,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"country:LT, in_stock:yes, price:mid",category:phone_case,0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
"category:phone_case, in_stock:yes","country:LT, price:mid",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
"category:phone_case, price:mid","country:LT, in_stock:yes",0.1103,0.131,0.1103,1.0,7.6333,1.0,0.0958,999.0,0.9767,0.8417,1.0,0.9208
"category:phone_case, country:LT","in_stock:yes, price:mid",0.1103,0.5492,0.1103,1.0,1.8207,1.0,0.0497,999.0,0.5066,0.2008,1.0,0.6004
"country:LT, in_stock:yes","category:phone_case, price:mid",0.131,0.1103,0.1103,0.8417,7.6333,1.0,0.0958,5.62,1.0,0.8417,0.8221,0.9208
"country:LT, price:mid","category:phone_case, in_stock:yes",0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
category:phone_case,"country:LT, in_stock:yes, price:mid",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
country:LT,"category:phone_case, in_stock:yes, price:mid",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
"category:phone_case, country:LT, in_stock:yes, price:mid",store:burga,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"country:LT, in_stock:yes, price:mid, store:burga",category:phone_case,0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
"category:phone_case, in_stock:yes, price:mid, store:burga",country:LT,0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"category:phone_case, country:LT, store:burga","in_stock:yes, price:mid",0.1103,0.5492,0.1103,1.0,1.8207,1.0,0.0497,999.0,0.5066,0.2008,1.0,0.6004
"category:phone_case, country:LT, in_stock:yes","price:mid, store:burga",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
"category:phone_case, country:LT, price:mid","in_stock:yes, store:burga",0.1103,0.131,0.1103,1.0,7.6333,1.0,0.0958,999.0,0.9767,0.8417,1.0,0.9208
"country:LT, in_stock:yes, store:burga","category:phone_case, price:mid",0.131,0.1103,0.1103,0.8417,7.6333,1.0,0.0958,5.62,1.0,0.8417,0.8221,0.9208
"country:LT, price:mid, store:burga","category:phone_case, in_stock:yes",0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
"country:LT, in_stock:yes, price:mid","category:phone_case, store:burga",0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
"category:phone_case, in_stock:yes, store:burga","country:LT, price:mid",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
"category:phone_case, price:mid, store:burga","country:LT, in_stock:yes",0.1103,0.131,0.1103,1.0,7.6333,1.0,0.0958,999.0,0.9767,0.8417,1.0,0.9208
"category:phone_case, in_stock:yes, price:mid","country:LT, store:burga",0.1103,0.1313,0.1103,1.0,7.618,1.0,0.0958,999.0,0.9764,0.84,1.0,0.92
"in_stock:yes, price:mid, store:burga","category:phone_case, country:LT",0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
"category:phone_case, country:LT","in_stock:yes, price:mid, store:burga",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
"country:LT, store:burga","category:phone_case, in_stock:yes, price:mid",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
"country:LT, in_stock:yes","category:phone_case, price:mid, store:burga",0.131,0.1103,0.1103,0.8417,7.6333,1.0,0.0958,5.62,1.0,0.8417,0.8221,0.9208
"country:LT, price:mid","category:phone_case, in_stock:yes, store:burga",0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
"category:phone_case, store:burga","country:LT, in_stock:yes, price:mid",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
"category:phone_case, in_stock:yes","country:LT, price:mid, store:burga",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
"category:phone_case, price:mid","country:LT, in_stock:yes, store:burga",0.1103,0.131,0.1103,1.0,7.6333,1.0,0.0958,999.0,0.9767,0.8417,1.0,0.9208
"in_stock:yes, store:burga","category:phone_case, country:LT, price:mid",0.131,0.1103,0.1103,0.8417,7.6333,1.0,0.0958,5.62,1.0,0.8417,0.8221,0.9208
"price:mid, store:burga","category:phone_case, country:LT, in_stock:yes",0.1276,0.1103,0.1103,0.8642,7.8374,1.0,0.0962,6.5517,1.0,0.8642,0.8474,0.9321
country:LT,"category:phone_case, in_stock:yes, price:mid, store:burga",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
category:phone_case,"country:LT, in_stock:yes, price:mid, store:burga",0.1103,0.1276,0.1103,1.0,7.8374,1.0,0.0962,999.0,0.9805,0.8642,1.0,0.9321
store:burga,"category:phone_case, country:LT, in_stock:yes, price:mid",0.1313,0.1103,0.1103,0.84,7.618,1.0,0.0958,5.5608,1.0,0.84,0.8202,0.92
store:chubbies,country:US,0.105,0.4697,0.105,1.0,2.1291,1.0,0.0557,999.0,0.5925,0.2236,1.0,0.6118
"price:mid, store:chubbies",country:US,0.0979,0.4697,0.0979,1.0,2.1291,1.0,0.0519,999.0,0.5879,0.2085,1.0,0.6042
store:chubbies,"country:US, price:mid",0.105,0.3316,0.0979,0.9325,2.8123,1.0,0.0631,9.9025,0.72,0.2891,0.899,0.6139
"in_stock:yes, store:chubbies",country:US,0.0948,0.4697,0.0948,1.0,2.1291,1.0,0.0503,999.0,0.5858,0.2018,1.0,0.6009
store:chubbies,"country:US, in_stock:yes",0.105,0.3229,0.0948,0.9025,2.7948,1.0,0.0609,6.9444,0.7175,0.2845,0.856,0.598
store:chubbies,"in_stock:yes, price:mid",0.105,0.5492,0.0879,0.8375,1.5249,1.0,0.0303,2.774,0.3846,0.1553,0.6395,0.4988
"in_stock:yes, price:mid, store:chubbies",country:US,0.0879,0.4697,0.0879,1.0,2.1291,1.0,0.0466,999.0,0.5815,0.1873,1.0,0.5936
"in_stock:yes, store:chubbies","country:US, price:mid",0.0948,0.3316,0.0879,0.928,2.7986,1.0,0.0565,9.2807,0.71,0.2599,0.8922,0.5966
"country:US, store:chubbies","in_stock:yes, price:mid",0.105,0.5492,0.0879,0.8375,1.5249,1.0,0.0303,2.774,0.3846,0.1553,0.6395,0.4988
"price:mid, store:chubbies","country:US, in_stock:yes",0.0979,0.3229,0.0879,0.8981,2.7813,1.0,0.0563,6.6461,0.71,0.2642,0.8495,0.5852
store:chubbies,"country:US, in_stock:yes, price:mid",0.105,0.2137,0.0879,0.8375,3.919,1.0,0.0655,4.8387,0.8322,0.3811,0.7933,0.6245
store:chubbies,category:mens_clothing,0.105,0.1024,0.1024,0.975,9.5225,1.0,0.0916,35.9044,1.0,0.975,0.9721,0.9875
category:mens_clothing,store:chubbies,0.1024,0.105,0.1024,1.0,9.5225,1.0,0.0916,999.0,0.9971,0.975,1.0,0.9875
category:mens_clothing,country:US,0.1024,0.4697,0.1024,1.0,2.1291,1.0,0.0543,999.0,0.5908,0.218,1.0,0.609
"country:US, store:chubbies",category:mens_clothing,0.105,0.1024,0.1024,0.975,9.5225,1.0,0.0916,35.9044,1.0,0.975,0.9721,0.9875
"category:mens_clothing, country:US",store:chubbies,0.1024,0.105,0.1024,1.0,9.5225,1.0,0.0916,999.0,0.9971,0.975,1.0,0.9875
"category:mens_clothing, store:chubbies",country:US,0.1024,0.4697,0.1024,1.0,2.1291,1.0,0.0543,999.0,0.5908,0.218,1.0,0.609
store:chubbies,"category:mens_clothing, country:US",0.105,0.1024,0.1024,0.975,9.5225,1.0,0.0916,35.9044,1.0,0.975,0.9721,0.9875
category:mens_clothing,"country:US, store:chubbies",0.1024,0.105,0.1024,1.0,9.5225,1.0,0.0916,999.0,0.9971,0.975,1.0,0.9875
"category:mens_clothing, price:mid",country:US,0.0953,0.4697,0.0953,1.0,2.1291,1.0,0.0505,999.0,0.5862,0.2029,1.0,0.6015
category:mens_clothing,"country:US, price:mid",0.1024,0.3316,0.0953,0.9308,2.807,1.0,0.0614,9.6549,0.7172,0.2814,0.8964,0.6091
"price:mid, store:chubbies",category:mens_clothing,0.0979,0.1024,0.0953,0.9732,9.5048,1.0,0.0853,33.4809,0.9919,0.9075,0.9701,0.952
"category:mens_clothing, price:mid",store:chubbies,0.0953,0.105,0.0953,1.0,9.5225,1.0,0.0853,999.0,0.9893,0.9075,1.0,0.9538
store:chubbies,"category:mens_clothing, price:mid",0.105,0.0953,0.0953,0.9075,9.5225,1.0,0.0853,9.7805,1.0,0.9075,0.8978,0.9538
category:mens_clothing,"price:mid, store:chubbies",0.1024,0.0979,0.0953,0.9308,9.5048,1.0,0.0853,13.03,0.9969,0.9075,0.9233,0.952
"country:US, price:mid, store:chubbies",category:mens_clothing,0.0979,0.1024,0.0953,0.9732,9.5048,1.0,0.0853,33.4809,0.9919,0.9075,0.9701,0.952
"category:mens_clothing, country:US, price:mid",store:chubbies,0.0953,0.105,0.0953,1.0,9.5225,1.0,0.0853,999.0,0.9893,0.9075,1.0,0.9538
"category:mens_clothing, price:mid, store:chubbies",country:US,0.0953,0.4697,0.0953,1.0,2.1291,1.0,0.0505,999.0,0.5862,0.2029,1.0,0.6015
"country:US, store:chubbies","category:mens_clothing, price:mid",0.105,0.0953,0.0953,0.9075,9.5225,1.0,0.0853,9.7805,1.0,0.9075,0.8978,0.9538
"category:mens_clothing, country:US","price:mid, store:chubbies",0.1024,0.0979,0.0953,0.9308,9.5048,1.0,0.0853,13.03,0.9969,0.9075,0.9233,0.952
"price:mid, store:chubbies","category:mens_clothing, country:US",0.0979,0.1024,0.0953,0.9732,9.5048,1.0,0.0853,33.4809,0.9919,0.9075,0.9701,0.952
"category:mens_clothing, price:mid","country:US, store:chubbies",0.0953,0.105,0.0953,1.0,9.5225,1.0,0.0853,999.0,0.9893,0.9075,1.0,0.9538
"category:mens_clothing, store:chubbies","country:US, price:mid",0.1024,0.3316,0.0953,0.9308,2.807,1.0,0.0614,9.6549,0.7172,0.2814,0.8964,0.6091
store:chubbies,"category:mens_clothing, country:US, price:mid",0.105,0.0953,0.0953,0.9075,9.5225,1.0,0.0853,9.7805,1.0,0.9075,0.8978,0.9538
category:mens_clothing,"country:US, price:mid, store:chubbies",0.1024,0.0979,0.0953,0.9308,9.5048,1.0,0.0853,13.03,0.9969,0.9075,0.9233,0.952
"category:mens_clothing, in_stock:yes",country:US,0.0924,0.4697,0.0924,1.0,2.1291,1.0,0.049,999.0,0.5843,0.1968,1.0,0.5984
category:mens_clothing,"country:US, in_stock:yes",0.1024,0.3229,0.0924,0.9026,2.795,1.0,0.0593,6.949,0.7155,0.2776,0.8561,0.5944
"in_stock:yes, store:chubbies",category:mens_clothing,0.0948,0.1024,0.0924,0.9751,9.5232,1.0,0.0827,36.0042,0.9887,0.8822,0.9722,0.9388
"category:mens_clothing, in_stock:yes",store:chubbies,0.0924,0.105,0.0924,1.0,9.5225,1.0,0.0827,999.0,0.9861,0.88,1.0,0.94
store:chubbies,"category:mens_clothing, in_stock:yes",0.105,0.0924,0.0924,0.88,9.5225,1.0,0.0827,7.5632,1.0,0.88,0.8678,0.94
category:mens_clothing,"in_stock:yes, store:chubbies",0.1024,0.0948,0.0924,0.9026,9.5232,1.0,0.0827,9.2905,0.9971,0.8822,0.8924,0.9388
category:mens_clothing,"in_stock:yes, price:mid",0.1024,0.5492,0.0856,0.8359,1.522,1.0,0.0294,2.7469,0.3821,0.1512,0.636,0.4959
"country:US, in_stock:yes, store:chubbies",category:mens_clothing,0.0948,0.1024,0.0924,0.9751,9.5232,1.0,0.0827,36.0042,0.9887,0.8822,0.9722,0.9388
"category:mens_clothing, country:US, in_stock:yes",store:chubbies,0.0924,0.105,0.0924,1.0,9.5225,1.0,0.0827,999.0,0.9861,0.88,1.0,0.94
"category:mens_clothing, in_stock:yes, store:chubbies",country:US,0.0924,0.4697,0.0924,1.0,2.1291,1.0,0.049,999.0,0.5843,0.1968,1.0,0.5984
"in_stock:yes, store:chubbies","category:mens_clothing, country:US",0.0948,0.1024,0.0924,0.9751,9.5232,1.0,0.0827,36.0042,0.9887,0.8822,0.9722,0.9388
"category:mens_clothing, in_stock:yes","country:US, store:chubbies",0.0924,0.105,0.0924,1.0,9.5225,1.0,0.0827,999.0,0.9861,0.88,1.0,0.94
"country:US, store:chubbies","category:mens_clothing, in_stock:yes",0.105,0.0924,0.0924,0.88,9.5225,1.0,0.0827,7.5632,1.0,0.88,0.8678,0.94
"category:mens_clothing, country:US","in_stock:yes, store:chubbies",0.1024,0.0948,0.0924,0.9026,9.5232,1.0,0.0827,9.2905,0.9971,0.8822,0.8924,0.9388
"category:mens_clothing, store:chubbies","country:US, in_stock:yes",0.1024,0.3229,0.0924,0.9026,2.795,1.0,0.0593,6.949,0.7155,0.2776,0.8561,0.5944
store:chubbies,"category:mens_clothing, country:US, in_stock:yes",0.105,0.0924,0.0924,0.88,9.5225,1.0,0.0827,7.5632,1.0,0.88,0.8678,0.94
category:mens_clothing,"country:US, in_stock:yes, store:chubbies",0.1024,0.0948,0.0924,0.9026,9.5232,1.0,0.0827,9.2905,0.9971,0.8822,0.8924,0.9388
"category:mens_clothing, in_stock:yes, price:mid",country:US,0.0856,0.4697,0.0856,1.0,2.1291,1.0,0.0454,999.0,0.58,0.1822,1.0,0.5911
"category:mens_clothing, in_stock:yes","country:US, price:mid",0.0924,0.3316,0.0856,0.9261,2.7931,1.0,0.0549,9.0493,0.7073,0.2529,0.8895,0.5921
"category:mens_clothing, country:US","in_stock:yes, price:mid",0.1024,0.5492,0.0856,0.8359,1.522,1.0,0.0294,2.7469,0.3821,0.1512,0.636,0.4959
"category:mens_clothing, price:mid","country:US, in_stock:yes",0.0953,0.3229,0.0856,0.8981,2.7811,1.0,0.0548,6.6427,0.7079,0.2573,0.8495,0.5816
category:mens_clothing,"country:US, in_stock:yes, price:mid",0.1024,0.2137,0.0856,0.8359,3.9115,1.0,0.0637,4.7915,0.8292,0.3713,0.7913,0.6182
"in_stock:yes, price:mid, store:chubbies",category:mens_clothing,0.0879,0.1024,0.0856,0.9731,9.5043,1.0,0.0766,33.4111,0.9811,0.817,0.9701,0.9045
"category:mens_clothing, in_stock:yes, price:mid",store:chubbies,0.0856,0.105,0.0856,1.0,9.5225,1.0,0.0766,999.0,0.9788,0.815,1.0,0.9075
"in_stock:yes, store:chubbies","category:mens_clothing, price:mid",0.0948,0.0953,0.0856,0.903,9.4758,1.0,0.0766,9.3313,0.9881,0.8191,0.8928,0.9006
"category:mens_clothing, in_stock:yes","price:mid, store:chubbies",0.0924,0.0979,0.0856,0.9261,9.4575,1.0,0.0765,12.2127,0.9853,0.817,0.9181,0.9001
"price:mid, store:chubbies","category:mens_clothing, in_stock:yes",0.0979,0.0924,0.0856,0.874,9.4575,1.0,0.0765,7.2028,0.9913,0.817,0.8612,0.9001
"category:mens_clothing, price:mid","in_stock:yes, store:chubbies",0.0953,0.0948,0.0856,0.8981,9.4758,1.0,0.0766,8.881,0.9887,0.8191,0.8874,0.9006
"category:mens_clothing, store:chubbies","in_stock:yes, price:mid",0.1024,0.5492,0.0856,0.8359,1.522,1.0,0.0294,2.7469,0.3821,0.1512,0.636,0.4959
store:chubbies,"category:mens_clothing, in_stock:yes, price:mid",0.105,0.0856,0.0856,0.815,9.5225,1.0,0.0766,4.9428,1.0,0.815,0.7977,0.9075
category:mens_clothing,"in_stock:yes, price:mid, store:chubbies",0.1024,0.0879,0.0856,0.8359,9.5043,1.0,0.0766,5.5578,0.9969,0.817,0.8201,0.9045
"category:mens_clothing, country:US, in_stock:yes, price:mid",store:chubbies,0.0856,0.105,0.0856,1.0,9.5225,1.0,0.0766,999.0,0.9788,0.815,1.0,0.9075
"country:US, in_stock:yes, price:mid, store:chubbies",category:mens_clothing,0.0879,0.1024,0.0856,0.9731,9.5043,1.0,0.0766,33.4111,0.9811,0.817,0.9701,0.9045
"category:mens_clothing, in_stock:yes, price:mid, store:chubbies",country:US,0.0856,0.4697,0.0856,1.0,2.1291,1.0,0.0454,999.0,0.58,0.1822,1.0,0.5911
"category:mens_clothing, country:US, in_stock:yes","price:mid, store:chubbies",0.0924,0.0979,0.0856,0.9261,9.4575,1.0,0.0765,12.2127,0.9853,0.817,0.9181,0.9001
"category:mens_clothing, country:US, price:mid","in_stock:yes, store:chubbies",0.0953,0.0948,0.0856,0.8981,9.4758,1.0,0.0766,8.881,0.9887,0.8191,0.8874,0.9006
"category:mens_clothing, country:US, store:chubbies","in_stock:yes, price:mid",0.1024,0.5492,0.0856,0.8359,1.522,1.0,0.0294,2.7469,0.3821,0.1512,0.636,0.4959
"country:US, in_stock:yes, store:chubbies","category:mens_clothing, price:mid",0.0948,0.0953,0.0856,0.903,9.4758,1.0,0.0766,9.3313,0.9881,0.8191,0.8928,0.9006
"country:US, price:mid, store:chubbies","category:mens_clothing, in_stock:yes",0.0979,0.0924,0.0856,0.874,9.4575,1.0,0.0765,7.2028,0.9913,0.817,0.8612,0.9001
"category:mens_clothing, in_stock:yes, price:mid","country:US, store:chubbies",0.0856,0.105,0.0856,1.0,9.5225,1.0,0.0766,999.0,0.9788,0.815,1.0,0.9075
"category:mens_clothing, in_stock:yes, store:chubbies","country:US, price:mid",0.0924,0.3316,0.0856,0.9261,2.7931,1.0,0.0549,9.0493,0.7073,0.2529,0.8895,0.5921
"category:mens_clothing, price:mid, store:chubbies","country:US, in_stock:yes",0.0953,0.3229,0.0856,0.8981,2.7811,1.0,0.0548,6.6427,0.7079,0.2573,0.8495,0.5816
"in_stock:yes, price:mid, store:chubbies","category:mens_clothing, country:US",0.0879,0.1024,0.0856,0.9731,9.5043,1.0,0.0766,33.4111,0.9811,0.817,0.9701,0.9045
"category:mens_clothing, country:US","in_stock:yes, price:mid, store:chubbies",0.1024,0.0879,0.0856,0.8359,9.5043,1.0,0.0766,5.5578,0.9969,0.817,0.8201,0.9045
"country:US, store:chubbies","category:mens_clothing, in_stock:yes, price:mid",0.105,0.0856,0.0856,0.815,9.5225,1.0,0.0766,4.9428,1.0,0.815,0.7977,0.9075
"category:mens_clothing, in_stock:yes","country:US, price:mid, store:chubbies",0.0924,0.0979,0.0856,0.9261,9.4575,1.0,0.0765,12.2127,0.9853,0.817,0.9181,0.9001
"category:mens_clothing, price:mid","country:US, in_stock:yes, store:chubbies",0.0953,0.0948,0.0856,0.8981,9.4758,1.0,0.0766,8.881,0.9887,0.8191,0.8874,0.9006
"category:mens_clothing, store:chubbies","country:US, in_stock:yes, price:mid",0.1024,0.2137,0.0856,0.8359,3.9115,1.0,0.0637,4.7915,0.8292,0.3713,0.7913,0.6182
"in_stock:yes, store:chubbies","category:mens_clothing, country:US, price:mid",0.0948,0.0953,0.0856,0.903,9.4758,1.0,0.0766,9.3313,0.9881,0.8191,0.8928,0.9006
"price:mid, store:chubbies","category:mens_clothing, country:US, in_stock:yes",0.0979,0.0924,0.0856,0.874,9.4575,1.0,0.0765,7.2028,0.9913,0.817,0.8612,0.9001
category:mens_clothing,"country:US, in_stock:yes, price:mid, store:chubbies",0.1024,0.0879,0.0856,0.8359,9.5043,1.0,0.0766,5.5578,0.9969,0.817,0.8201,0.9045
store:chubbies,"category:mens_clothing, country:US, in_stock:yes, price:mid",0.105,0.0856,0.0856,0.815,9.5225,1.0,0.0766,4.9428,1.0,0.815,0.7977,0.9075
store:allbirds,country:US,0.105,0.4697,0.105,1.0,2.1291,1.0,0.0557,999.0,0.5925,0.2236,1.0,0.6118
"in_stock:yes, store:allbirds",country:US,0.104,0.4697,0.104,1.0,2.1291,1.0,0.0551,999.0,0.5919,0.2214,1.0,0.6107
store:allbirds,"country:US, in_stock:yes",0.105,0.3229,0.104,0.99,3.0658,1.0,0.0701,67.7081,0.7529,0.3209,0.9852,0.656
"price:mid, store:allbirds",country:US,0.0656,0.4697,0.0656,1.0,2.1291,1.0,0.0348,999.0,0.5676,0.1397,1.0,0.5699
store:allbirds,"country:US, price:mid",0.105,0.3316,0.0656,0.625,1.8849,1.0,0.0308,1.7824,0.5246,0.1769,0.439,0.4115
"in_stock:yes, price:mid, store:allbirds",country:US,0.0654,0.4697,0.0654,1.0,2.1291,1.0,0.0347,999.0,0.5674,0.1392,1.0,0.5696
"in_stock:yes, store:allbirds","country:US, price:mid",0.104,0.3316,0.0654,0.6288,1.8963,1.0,0.0309,1.8006,0.5275,0.1766,0.4446,0.413
"price:mid, store:allbirds","country:US, in_stock:yes",0.0656,0.3229,0.0654,0.996,3.0844,1.0,0.0442,169.2701,0.7233,0.2023,0.9941,0.5992
store:allbirds,"country:US, in_stock:yes, price:mid",0.105,0.2137,0.0654,0.6225,2.9129,1.0,0.0429,2.0829,0.7338,0.258,0.5199,0.4642
category:shoes,store:allbirds,0.0864,0.105,0.0864,1.0,9.5225,1.0,0.0773,999.0,0.9796,0.8225,1.0,0.9112
store:allbirds,category:shoes,0.105,0.0864,0.0864,0.8225,9.5225,1.0,0.0773,5.1472,1.0,0.8225,0.8057,0.9112
category:shoes,country:US,0.0864,0.4697,0.0864,1.0,2.1291,1.0,0.0458,999.0,0.5805,0.1839,1.0,0.592
"category:shoes, country:US",store:allbirds,0.0864,0.105,0.0864,1.0,9.5225,1.0,0.0773,999.0,0.9796,0.8225,1.0,0.9112
"category:shoes, store:allbirds",country:US,0.0864,0.4697,0.0864,1.0,2.1291,1.0,0.0458,999.0,0.5805,0.1839,1.0,0.592
"country:US, store:allbirds",category:shoes,0.105,0.0864,0.0864,0.8225,9.5225,1.0,0.0773,5.1472,1.0,0.8225,0.8057,0.9112
category:shoes,"country:US, store:allbirds",0.0864,0.105,0.0864,1.0,9.5225,1.0,0.0773,999.0,0.9796,0.8225,1.0,0.9112
store:allbirds,"category:shoes, country:US",0.105,0.0864,0.0864,0.8225,9.5225,1.0,0.0773,5.1472,1.0,0.8225,0.8057,0.9112
"category:shoes, in_stock:yes",store:allbirds,0.0864,0.105,0.0864,1.0,9.5225,1.0,0.0773,999.0,0.9796,0.8225,1.0,0.9112
"in_stock:yes, store:allbirds",category:shoes,0.104,0.0864,0.0864,0.8308,9.6187,1.0,0.0774,5.3999,1.0,0.8308,0.8148,0.9154
category:shoes,"in_stock:yes, store:allbirds",0.0864,0.104,0.0864,1.0,9.6187,1.0,0.0774,999.0,0.9807,0.8308,1.0,0.9154
store:allbirds,"category:shoes, in_stock:yes",0.105,0.0864,0.0864,0.8225,9.5225,1.0,0.0773,5.1472,1.0,0.8225,0.8057,0.9112
"category:shoes, price:mid",store:allbirds,0.0562,0.105,0.0562,1.0,9.5225,1.0,0.0503,999.0,0.9483,0.535,1.0,0.7675
"price:mid, store:allbirds",category:shoes,0.0656,0.0864,0.0562,0.856,9.9103,1.0,0.0505,6.3446,0.9623,0.5863,0.8424,0.7532
category:shoes,"price:mid, store:allbirds",0.0864,0.0656,0.0562,0.6505,9.9103,1.0,0.0505,2.6731,0.9841,0.5863,0.6259,0.7532
"category:shoes, in_stock:yes",country:US,0.0864,0.4697,0.0864,1.0,2.1291,1.0,0.0458,999.0,0.5805,0.1839,1.0,0.592
