product_id,cluster_id,segment,is_anomaly
6806362554570,2,budget,0
6806510797002,2,budget,0
6806250586314,0,premium,0
6806190817482,0,premium,0
6806415081674,2,budget,0
6805443674314,0,premium,0
6806252191946,0,premium,0
6806565912778,0,premium,0
6806396600522,2,budget,0
6806514696394,0,premium,0
6806606348490,2,budget,0
6806352036042,2,budget,0
6806320808138,0,premium,0
6806211723466,0,premium,0
6806266249418,0,premium,0
6806565847242,2,budget,0
6805694251210,2,budget,0
6806261858506,0,premium,0
6806294855882,2,budget,0
6806205333706,0,premium,0
6806505291978,2,budget,0
6806505455818,0,premium,0
6806348431562,2,budget,0
6806220865738,2,budget,0
6806510338250,0,premium,0
6806410035402,0,premium,0
6806508798154,0,premium,0
6806507520202,2,budget,0
6806168895690,2,budget,0
6806406693066,0,premium,0
6806356361418,2,budget,0
6806480027850,2,budget,0
6806557294794,0,premium,0
6806182035658,1,mid_range,0
6806468788426,2,budget,0
6806299181258,2,budget,0
6806358229194,2,budget,0
6806348726474,2,budget,0
6806264316106,0,premium,0
6806378152138,0,premium,0
6806238265546,2,budget,0
6806227615946,2,budget,0
6806317662410,1,mid_range,0
6806337454282,0,premium,0
6806563946698,0,premium,0
6806507323594,0,premium,0
6806298820810,2,budget,0
6806401679562,2,budget,0
6806463250634,2,budget,0
6806404530378,2,budget,0
6806349152458,2,budget,0
6806544711882,2,budget,0
6806481240266,2,budget,0
6806556278986,0,premium,0
6806416589002,2,budget,0
6806529900746,0,premium,0
6806395388106,2,budget,0
6806506471626,0,premium,0
6806348660938,2,budget,0
6806540615882,0,premium,0
6806308225226,1,mid_range,0
6806504308938,0,premium,0
6806520856778,2,budget,0
6806261629130,0,premium,0
6806249406666,2,budget,0
6806378086602,0,premium,0
6806508175562,0,premium,0
6806411346122,2,budget,0
6806152970442,2,budget,0
6806168666314,2,budget,0
6806468591818,2,budget,0
6806543728842,2,budget,0
6806378348746,0,premium,0
6806522298570,2,budget,0
6806551789770,0,premium,0
6806546153674,0,premium,0
6806536814794,1,mid_range,0
6806432317642,0,premium,0
6806380347594,2,budget,0
6806541369546,2,budget,0
6806417834186,2,budget,0
6806149169354,1,mid_range,0
6806204448970,0,premium,0
6806546514122,0,premium,0
6806473408714,2,budget,0
6806411509962,2,budget,0
6806166503626,2,budget,0
6806074294474,0,premium,0
6806555394250,0,premium,0
6806506864842,2,budget,0
6806414098634,2,budget,0
6806261694666,0,premium,0
6806516629706,2,budget,0
6806532849866,2,budget,0
6806150742218,2,budget,0
6806421635274,2,budget,0
6806406234314,2,budget,0
6806341877962,0,premium,0
6806306128074,1,mid_range,0
6806324347082,2,budget,0
6805097480394,1,mid_range,0
6806525608138,0,premium,0
6806469116106,2,budget,0
6806522757322,0,premium,0
6806570926282,0,premium,0
6806353543370,2,budget,0
6806375104714,2,budget,0
6806141042890,2,budget,0
6806221684938,2,budget,0
6806362226890,2,budget,0
6806466822346,2,budget,0
6806350495946,2,budget,0
6806408298698,0,premium,0
6806220701898,2,budget,0
6806398042314,0,premium,0
6806356689098,2,budget,0
6805121106122,0,premium,0
6806312485066,2,budget,0
6806563881162,2,budget,0
6806213001418,0,premium,0
6806568501450,2,budget,0
6806555459786,0,premium,0
6806216409290,0,premium,0
6806568599754,2,budget,0
6806530064586,2,budget,0
6806527705290,0,premium,0
6806546972874,2,budget,0
6806313828554,2,budget,0
6806198649034,0,premium,0
6806295969994,2,budget,0
6806482223306,0,premium,0
6806363570378,2,budget,0
6806268281034,0,premium,0
6806430843082,0,premium,0
6806564372682,0,premium,0
6806230302922,2,budget,0
6806528524490,2,budget,0
6806215786698,0,premium,0
6806533701834,0,premium,0
6806373335242,2,budget,0
6806357639370,2,budget,0
6806227058890,2,budget,0
6806605398218,2,budget,0
6806417178826,2,budget,0
6806468526282,2,budget,0
6806491136202,2,budget,0
6806209069258,0,premium,0
6806491627722,2,budget,0
6806379036874,2,budget,0
6806396109002,2,budget,0
6806228402378,2,budget,0
6806474686666,2,budget,0
6806531768522,0,premium,0
6806372483274,2,budget,0
6806363930826,2,budget,0
6806544875722,0,premium,0
6806472523978,0,premium,0
6806477406410,2,budget,0
6806522659018,2,budget,0
6806146646218,2,budget,0
6806477865162,2,budget,0
6806275522762,2,budget,0
6806476685514,2,budget,0
6806303768778,1,mid_range,0
6806427205834,2,budget,0
6806212477130,0,premium,0
6806467084490,2,budget,0
6806268969162,0,premium,0
6806496542922,2,budget,0
6806475768010,2,budget,0
6806312779978,2,budget,0
6805443772618,0,premium,0
6806179807434,2,budget,0
6806258680010,0,premium,0
6806380839114,2,budget,0
6806471901386,2,budget,0
6806211625162,0,premium,0
6806471508170,0,premium,0
6806218473674,0,premium,0
6806363177162,2,budget,0
6806189277386,0,premium,0
6806410133706,0,premium,0
6806248161482,2,budget,0
6806203367626,0,premium,0
6806273032394,0,premium,0
6806207922378,0,premium,0
6806477668554,2,budget,0
6806539600074,0,premium,0
6806164046026,2,budget,0
6806193307850,0,premium,0
4857443713226,0,premium,0
6805656797386,2,budget,0
6806502736074,0,premium,0
6806348824778,2,budget,0
6806467248330,0,premium,0
6806191964362,0,premium,0
4824378015822,0,premium,0
6806553460938,1,mid_range,0
6806509355210,2,budget,0
6806239576266,2,budget,0
6806339846346,2,budget,0
6806261137610,2,budget,0
6806365765834,2,budget,0
6806261498058,0,premium,0
6806317007050,1,mid_range,0
6806501589194,0,premium,0
6806428713162,0,premium,0
6806320971978,0,premium,0
6806409445578,0,premium,0
6806352986314,2,budget,0
6806552182986,0,premium,0
6806514794698,2,budget,0
6806393880778,0,premium,0
6806214115530,0,premium,0
4804690116686,0,premium,0
6806183903434,2,budget,0
6806336667850,0,premium,0
6806394372298,0,premium,0
6806257959114,0,premium,0
6806208151754,0,premium,0
6806218178762,0,premium,0
6806533865674,2,budget,0
6806466560202,2,budget,0
6806334669002,2,budget,0
6806560571594,2,budget,0
6806488056010,2,budget,0
6806138716362,0,premium,0
6806554116298,2,budget,0
6806215065802,0,premium,0
6806463447242,0,premium,0
6806488318154,2,budget,0
6806475571402,2,budget,0
6806478618826,2,budget,0
6806375366858,2,budget,0
6806191734986,0,premium,0
6806307832010,2,budget,0
6806412394698,0,premium,0
6806560047306,2,budget,0
6806547857610,2,budget,0
6806427074762,2,budget,0
6806279389386,0,premium,0
6806431367370,2,budget,0
6806267822282,0,premium,0
6806378447050,0,premium,0
6806399877322,2,budget,0
6806513647818,0,premium,0
6806260121802,2,budget,0
6806314254538,1,mid_range,0
6806514237642,0,premium,0
6806241280202,2,budget,0
6806393782474,0,premium,0
6806205432010,0,premium,0
6806215524554,0,premium,0
6806534389962,2,budget,0
